NID    NIC-Addr  Node          Gemini         X  Y  Z
202      532     c0-4c0s5n0    c0-4c0s5g0     0  4  5 
203      533     c0-4c0s5n1    c0-4c0s5g0     0  4  5 
204      536     c0-4c0s6n0    c0-4c0s6g0     0  4  6 
205      537     c0-4c0s6n1    c0-4c0s6g0     0  4  6 
206      540     c0-4c0s7n0    c0-4c0s7g0     0  4  7 
207      541     c0-4c0s7n1    c0-4c0s7g0     0  4  7 
208      544     c0-4c1s7n0    c0-4c1s7g0     0  4  8 
209      545     c0-4c1s7n1    c0-4c1s7g0     0  4  8 
210      548     c0-4c1s6n0    c0-4c1s6g0     0  4  9 
211      549     c0-4c1s6n1    c0-4c1s6g0     0  4  9 
212      552     c0-4c1s5n0    c0-4c1s5g0     0  4  10
213      553     c0-4c1s5n1    c0-4c1s5g0     0  4  10
214      556     c0-4c1s4n0    c0-4c1s4g0     0  4  11
215      557     c0-4c1s4n1    c0-4c1s4g0     0  4  11
216      560     c0-4c1s3n0    c0-4c1s3g0     0  4  12
217      561     c0-4c1s3n1    c0-4c1s3g0     0  4  12
218      564     c0-4c1s2n0    c0-4c1s2g0     0  4  13
219      565     c0-4c1s2n1    c0-4c1s2g0     0  4  13
220      568     c0-4c1s1n0    c0-4c1s1g0     0  4  14
221      569     c0-4c1s1n1    c0-4c1s1g0     0  4  14
222      572     c0-4c1s0n0    c0-4c1s0g0     0  4  15
223      573     c0-4c1s0n1    c0-4c1s0g0     0  4  15
224      576     c0-4c2s0n0    c0-4c2s0g0     0  4  16
225      577     c0-4c2s0n1    c0-4c2s0g0     0  4  16
226      580     c0-4c2s1n0    c0-4c2s1g0     0  4  17
227      581     c0-4c2s1n1    c0-4c2s1g0     0  4  17
228      584     c0-4c2s2n0    c0-4c2s2g0     0  4  18
229      585     c0-4c2s2n1    c0-4c2s2g0     0  4  18
230      588     c0-4c2s3n0    c0-4c2s3g0     0  4  19
231      589     c0-4c2s3n1    c0-4c2s3g0     0  4  19
232      592     c0-4c2s4n0    c0-4c2s4g0     0  4  20
233      593     c0-4c2s4n1    c0-4c2s4g0     0  4  20
234      596     c0-4c2s5n0    c0-4c2s5g0     0  4  21
235      597     c0-4c2s5n1    c0-4c2s5g0     0  4  21
236      600     c0-4c2s6n0    c0-4c2s6g0     0  4  22
237      601     c0-4c2s6n1    c0-4c2s6g0     0  4  22
238      604     c0-4c2s7n0    c0-4c2s7g0     0  4  23
239      605     c0-4c2s7n1    c0-4c2s7g0     0  4  23
286      640     c0-4c0s0n2    c0-4c0s0g1     0  5  0 
287      641     c0-4c0s0n3    c0-4c0s0g1     0  5  0 
284      644     c0-4c0s1n2    c0-4c0s1g1     0  5  1 
285      645     c0-4c0s1n3    c0-4c0s1g1     0  5  1 
282      648     c0-4c0s2n2    c0-4c0s2g1     0  5  2 
283      649     c0-4c0s2n3    c0-4c0s2g1     0  5  2 
280      652     c0-4c0s3n2    c0-4c0s3g1     0  5  3 
281      653     c0-4c0s3n3    c0-4c0s3g1     0  5  3 
278      656     c0-4c0s4n2    c0-4c0s4g1     0  5  4 
279      657     c0-4c0s4n3    c0-4c0s4g1     0  5  4 
276      660     c0-4c0s5n2    c0-4c0s5g1     0  5  5 
277      661     c0-4c0s5n3    c0-4c0s5g1     0  5  5 
274      664     c0-4c0s6n2    c0-4c0s6g1     0  5  6 
275      665     c0-4c0s6n3    c0-4c0s6g1     0  5  6 
272      668     c0-4c0s7n2    c0-4c0s7g1     0  5  7 
273      669     c0-4c0s7n3    c0-4c0s7g1     0  5  7 
270      672     c0-4c1s7n2    c0-4c1s7g1     0  5  8 
271      673     c0-4c1s7n3    c0-4c1s7g1     0  5  8 
268      676     c0-4c1s6n2    c0-4c1s6g1     0  5  9 
269      677     c0-4c1s6n3    c0-4c1s6g1     0  5  9 
266      680     c0-4c1s5n2    c0-4c1s5g1     0  5  10
267      681     c0-4c1s5n3    c0-4c1s5g1     0  5  10
264      684     c0-4c1s4n2    c0-4c1s4g1     0  5  11
265      685     c0-4c1s4n3    c0-4c1s4g1     0  5  11
262      688     c0-4c1s3n2    c0-4c1s3g1     0  5  12
263      689     c0-4c1s3n3    c0-4c1s3g1     0  5  12
260      692     c0-4c1s2n2    c0-4c1s2g1     0  5  13
261      693     c0-4c1s2n3    c0-4c1s2g1     0  5  13
258      696     c0-4c1s1n2    c0-4c1s1g1     0  5  14
259      697     c0-4c1s1n3    c0-4c1s1g1     0  5  14
256      700     c0-4c1s0n2    c0-4c1s0g1     0  5  15
257      701     c0-4c1s0n3    c0-4c1s0g1     0  5  15
254      704     c0-4c2s0n2    c0-4c2s0g1     0  5  16
255      705     c0-4c2s0n3    c0-4c2s0g1     0  5  16
252      708     c0-4c2s1n2    c0-4c2s1g1     0  5  17
253      709     c0-4c2s1n3    c0-4c2s1g1     0  5  17
250      712     c0-4c2s2n2    c0-4c2s2g1     0  5  18
251      713     c0-4c2s2n3    c0-4c2s2g1     0  5  18
248      716     c0-4c2s3n2    c0-4c2s3g1     0  5  19
249      717     c0-4c2s3n3    c0-4c2s3g1     0  5  19
246      720     c0-4c2s4n2    c0-4c2s4g1     0  5  20
247      721     c0-4c2s4n3    c0-4c2s4g1     0  5  20
244      724     c0-4c2s5n2    c0-4c2s5g1     0  5  21
245      725     c0-4c2s5n3    c0-4c2s5g1     0  5  21
242      728     c0-4c2s6n2    c0-4c2s6g1     0  5  22
243      729     c0-4c2s6n3    c0-4c2s6g1     0  5  22
240      732     c0-4c2s7n2    c0-4c2s7g1     0  5  23
241      733     c0-4c2s7n3    c0-4c2s7g1     0  5  23
288      768     c0-5c2s0n0    c0-5c2s0g0     0  6  0 
289      769     c0-5c2s0n1    c0-5c2s0g0     0  6  0 
290      772     c0-5c2s1n0    c0-5c2s1g0     0  6  1 
291      773     c0-5c2s1n1    c0-5c2s1g0     0  6  1 
292      776     c0-5c2s2n0    c0-5c2s2g0     0  6  2 
293      777     c0-5c2s2n1    c0-5c2s2g0     0  6  2 
294      780     c0-5c2s3n0    c0-5c2s3g0     0  6  3 
295      781     c0-5c2s3n1    c0-5c2s3g0     0  6  3 
296      784     c0-5c2s4n0    c0-5c2s4g0     0  6  4 
297      785     c0-5c2s4n1    c0-5c2s4g0     0  6  4 
298      788     c0-5c2s5n0    c0-5c2s5g0     0  6  5 
299      789     c0-5c2s5n1    c0-5c2s5g0     0  6  5 
300      792     c0-5c2s6n0    c0-5c2s6g0     0  6  6 
301      793     c0-5c2s6n1    c0-5c2s6g0     0  6  6 
302      796     c0-5c2s7n0    c0-5c2s7g0     0  6  7 
303      797     c0-5c2s7n1    c0-5c2s7g0     0  6  7 
304      800     c0-5c1s7n0    c0-5c1s7g0     0  6  8 
305      801     c0-5c1s7n1    c0-5c1s7g0     0  6  8 
306      804     c0-5c1s6n0    c0-5c1s6g0     0  6  9 
307      805     c0-5c1s6n1    c0-5c1s6g0     0  6  9 
308      808     c0-5c1s5n0    c0-5c1s5g0     0  6  10
309      809     c0-5c1s5n1    c0-5c1s5g0     0  6  10
